Sub * SUBJ SUBJ !«œ»Ì« !
W * V V,PA,SIM,NEG,3 ‰»Êœ
W * CON CON Ê
W * P P  «
W * DET DET ¬‰
W * N N,SING,COM “„«‰
W * N N,SING,COM,INDF «À—Ì
W * N N,SING,COM  √·Ì›
W * V V,PA,NAR,NEG,3 ‰ﬂ—œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * ADV ADV,GENR,SIM „” ﬁÌ„«
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * ADJ ADJ,SIM „—»Êÿ
W * V V,SUB,POS,3 »«‘œ
W * DELM DELM °
W * CON CON Ì⁄‰Ì
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * CON CON Ê
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,SING,LOC „ÌŒ«‰Â
W * ADV ADV,GENR,SIM Â‰Ê“
W * N N,SING,COM ç«Å
W * ADJ ADJ,INO,NEG ‰‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * CON CON «„«
W * N N,SING,COM,GEN ÿÌ
W * N N,SING,COM ê› êÊ
W * P P »—
W * N N,SING,COM,GEN —ÊÌ
W * N N,SING,COM,GEN „Ì“
W * N N,SING,COM,GEN ‘«„
W * N N,SING,COM Õœ”
W * ADJ ADJ,INO “œÂ
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * CON CON ﬂÂ
W * PRO PRO,personal,SING,3 ÊÌ
W * P P »Â
W * N N,SING,COM,GEN «œ»Ì« 
W * ADJ ADJ,SIM,GEN ›«—”Ì
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM,GEN ⁄·«ﬁÂÒ
W * ADJ ADJ,SIM,INDF ⁄„ÌﬁÌ
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM °
W * CON CON ê—çÂ
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * V V,PA,SIM,NEG,3 ‰»Êœ
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN ÊÃÊœ
W * N N,SING,COM,GEN ‰« Ê«‰Ì
W * ADJ ADJ,SIM Ã”„«‰Ì
W * DELM DELM °
W * N N,SING,LOC,GEN »Õ—
W * N N,PL,COM,GEN –Œ«—
W * N N,SING,COM Â‰œ‘‰«”Ì
W * P P œ—
W * N N,SING,COM,GEN ﬁ·»
W * PRO PRO,personal,SING,3 ÊÌ
W * N N,SING,COM „ÊÃ
W * V V,SUB,POS,3 “‰œ
W * DELM DELM .
W * N N,SING,TIME Å”
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,SURN,GEN ¬ﬁ«Ì
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM „Ê—Œ
W * CON CON Ê
W * N N,SING,COM,GEN „ƒ·›
W * ADJ ADJ,SIM ‰«„œ«—
W * DELM DELM °
W * N N,SING,COM,GEN Œœ„ 
W * ADJ ADJ,SIM,INDF «—“‰œÂ «Ì
W * P P œ—
W * N N,SING,COM,GEN “„Ì‰ÂÒ
W * N N,SING,COM,GEN «œ»Ì« 
W * ADJ ADJ,SIM ›«—”Ì
W * N N,SING,COM «‰Ã«„
W * V V,PA,SIM,POS,3 œ«œ
W * CON CON ﬂÂ
W * QUA QUA,GEN  „«„Ì
W * N N,PL,COM,AFF,3 ¬À«—‘
W * N N,SING,COM,GEN ÿ»ﬁ
W * PRO PRO,INDF,SING ¬‰çÂ
W * ADV ADV,GENR,SIM –Ì·«
W * N N,SING,COM –ﬂ—
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM °
W * ADJ ADJ,SIM,GEN Õ«Ì“
W * N N,SING,COM,GEN «Â„Ì 
W * ADJ ADJ,SIM “Ì«œ
W * V V,PRE,SIM «” 
W * DELM DELM :
W * N N,SING,NUM 1
W * DELM DELM -
W * N N,SING,COM,GEN ›Â—” 
W * N N,SING,LOC,GEN ﬂ «»Œ«‰ÂÒ
W * N N,SING,LOC,PR „‘Âœ
W * DELM DELM °
W * N N,SING,NUM 2
W * DELM DELM -
W * N N,SING,COM,GEN ›Â—” 
W * N N,PL,COM,GEN ‰”ŒÂ Â«Ì
W * N N,SING,PR,GEN ﬁ—¬‰
W * ADJ ADJ,SIM „ÃÌœ
W * P P œ—
W * N N,SING,COM,GEN ¬” «‰
W * N N,SING,PR ﬁœ”
W * DELM DELM °
W * N N,SING,NUM 3
W * DELM DELM -
W * N N,SING,COM,GEN  «—ÌŒ
W * N N,PL,COM,GEN  –ﬂ—Â Â«Ì
W * ADJ ADJ,SIM ›«—”Ì
W * DELM DELM °
W * N N,SING,NUM 4
W * DELM DELM -
W * N N,SING,COM,GEN „ﬂ »
W * N N,SING,COM ÊﬁÊ⁄
W * DELM DELM °
W * N N,SING,NUM 5
W * DELM DELM -
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,SING,COM ÅÌ„«‰Â
W * DELM DELM .
W * N N,SING,NUM 6
W * DELM DELM -
W * N N,SING,COM,GEN  ’ÕÌÕ
W * N N,SING,LOC „ÌŒ«‰Â
W * DELM DELM °
W * N N,SING,NUM 7
W * DELM DELM -
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * CON CON Ê
W * N N,SING,COM €Ì—Â
W * DELM DELM .
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * DELM DELM °
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,PL,COM ‘⁄—«
W * CON CON Ê
W * N N,PL,COM,INDF «œ»«ÌÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN ⁄’—
W * ADJ ADJ,SIM ’›ÊÌ
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM „Â«Ã— 
W * V V,PA,NAR,POS,6 ﬂ—œÂ «‰œ
W * DELM DELM .
W * V V,PRE,ADJC,3 ÅÌœ«” 
W * P P œ—
W * DET DET ¬‰
W * N N,SING,COM ⁄’—
W * N N,SING,COM €Ì—
W * P P «“
W * N N,PL,COM «œ»«
W * CON CON Ê
W * N N,PL,COM ‘⁄—«
W * DELM DELM °
W * N N,PL,NUM Â“«—«‰
W * N N,SING,COM,GEN „ Œ’’
W * N N,PL,COM ⁄·Ê„
W * CON CON Ê
W * N N,PL,COM,GEN ›‰Ê‰
W * ADJ ADJ,SIM „Œ ·›
W * P P,GEN Ê«—œ
W * N N,SING,LOC,PR Â‰œ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN „ÕÌÿ
W * ADJ ADJ,SIM ⁄·„Ì
W * CON CON Ê
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * ADJ ADJ,SIM ”Ì«”Ì
W * N N,SING,COM,GEN ‰ﬁ‘
W * ADJ ADJ,SIM,INDF »—Ã” Â «Ì
W * V V,PA,SIM,POS,6 œ«‘ ‰œ
W * CON CON Ê
W * N N,SING,LOC,PR Â‰œ
W * P P »Â
W * N N,SING,COM,GEN Ã«Ì
W * N N,SING,LOC,PR,GEN «Ì—«‰
W * ADJ ADJ,SIM ’€Ì—
W * P P »Â
W * N N,SING,LOC,PR,GEN «Ì—«‰
W * ADJ ADJ,SIM ﬂ»Ì—
W * N N,SING,COM „»œ·
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM „Ê÷Ê⁄
W * ADV ADV,deg,SIM ¬‰ç‰«‰
W * ADJ ADJ,SIM ê” —œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * P P,GEN œ—»«—ÂÒ
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,NUM ç‰œÌ‰
W * N N,SING,CONT Ã·œ
W * N N,SING,COM ﬂ «»
W * V V,PA,SIM,POS,3 ‰Ê‘ 
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM “„Ì‰Â
W * ADV ADV,GENR,SIM ›ﬁÿ
W * V V,PRS,POS,1 „Ì ŒÊ«Â„
W * V V,SUB,POS,1 »‰ÊÌ”„
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN Ê—Êœ
W * DET DET ¬‰
W * N N,PL,COM „Â«Ã—Ì‰
W * DELM DELM °
W * N N,SING,COM,GEN „ÕÌÿ
W * ADJ ADJ,SIM «œ»Ì
W * CON CON Ê
W * ADJ ADJ,SIM,GEN ‘⁄—Ì
W * N N,SING,LOC,PR Â‰œ
W * P P  «
W * DET DET,I çÂ
W * N N,SING,COM «‰œ«“Â
W * P P,GEN  Õ 
W * N N,SING,COM  √ÀÌ—
W * N N,SING,COM ﬁ—«—
W * V V,PA,SIM,POS,3 ê—› 
W * DELM DELM .
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM —«” «
W * P P »—
W * N N,SING,COM,INDF ﬂ”Ì
W * ADJ ADJ,SIM ÅÊ‘ÌœÂ
W * V V,PRS,NEG,3 ‰Ì” 
W * CON CON ﬂÂ
W * N N,PL,NUM Â“«—«‰
W * N N,SING,COM ‘«⁄—
W * CON CON Ê
W * N N,SING,COM œ«‰‘„‰œ
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * V V,PA,SIM,POS,6 ¬„œ‰œ
W * CON CON Ê
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN „ÕÌÿ
W * ADJ ADJ,SIM ⁄·„Ì
W * CON CON Ê
W * ADJ ADJ,SIM «œ»Ì
W * P P »Â
W * N N,SING,COM ÊÃÊœ
W * V V,PA,SIM,POS,6 ¬Ê—œ‰œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN  √ÀÌ—
W * PRO PRO,DEMO,SING ¬‰
W * P P »«
W * N N,SING,COM,GEN ÊÃÊœ
W * N N,SING,COM,GEN Œ« „ÂÒ
W * N N,SING,COM,GEN ﬁœ— 
W * ADJ ADJ,SIM ”Ì«”Ì
W * DELM DELM °
W * P P œ—
W * QUA QUA Â—
W * N N,SING,COM Õ«·
W * ADJ ADJ,SIM „Õ”Ê”
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * ADV ADV,GENR,TIME Â„ «ﬂ‰Ê‰
W * N N,SING,COM,GEN „Ê÷Ê⁄
W * N N,SING,COM,GEN »ÕÀ
W * N N,SING,COM ‰ê«—‰œÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM Œ’Ê’
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ «»
W * ADJ ADJ,SIM,GEN «—“‘„‰œ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR,GEN ê·çÌ‰
W * N N,PL,COM „⁄«‰Ì
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN «À—
W * N N,SING,COM,GEN „Ê—œ
W * N N,SING,COM ‰Ÿ—
W * DET DET «Ì‰
W * N N,SING,COM Ê«ﬁ⁄Ì 
W * RA RA —«
W * N N,SING,COM »Ì«‰
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * CON CON ﬂÂ
W * N N,SING,COM,INDF ﬂ«—Ê«‰Ì
W * P P «“
W * N N,PL,COM ‘⁄—«
W * DELM DELM °
W * N N,PL,COM «œ»«
W * CON CON Ê
W * N N,PL,COM,GEN ›÷·«Ì
W * ADJ ADJ,SIM «Ì—«‰Ì
W * N N,SING,COM,GEN ÿÌ
W * N N,PL,TIME,GEN ”«·Ì«‰
W * ADJ ADJ,SIM „ „«œÌ
W * N N,SING,COM,GEN —«ÂÌ
W * DET DET «Ì‰
W * N N,SING,COM œÌ«—
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * CON CON Ê
W * N N,PL,COM,GEN ﬂ«—Â«Ì
W * ADJ ADJ,SIM,INDF ‰„«Ì«‰Ì
W * N N,SING,COM «‰Ã«„
W * V V,PA,SIM,POS,6 œ«œ‰œ
W * CON CON ﬂÂ
W * P P  «
W * N N,PL,TIME ﬁ—‰Â«
W * N N,SING,COM »«ﬁÌ
W * V V,AUX,FEA,POS,6 ŒÊ«Â‰œ
W * V V,PA,SIM,POS,3 „«‰œ
W * DELM DELM .
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM „ﬁœ„Â
W * P P œ—
W * N N,SING,NUM 44
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,SING,COM,GEN „ ‰
W * N N,SING,NUM 1560
W * N N,SING,COM ’›ÕÂ
W * P P œ—
W * N N,SING,NUM œÊ
W * N N,SING,COM Ã·œ
W * DELM DELM ∫
W * N N,PL,COM «› «œêÌÂ«
W * N N,SING,NUM 3
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,PL,COM,GEN ‘⁄—«Ì
W * ADJ ADJ,SIM „‘ﬂÊﬂ
W * N N,SING,NUM 81
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,SING,COM,GEN ›Â—” 
W * N N,PL,COM „ —Ã„Ì‰
W * N N,SING,NUM 52
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,SING,COM,GEN ›Â—” 
W * N N,SING,COM,GEN «⁄·«„
W * ADJ ADJ,SIM  «—ÌŒÌ
W * N N,SING,NUM 91
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,PL,COM,GEN «”«„Ì
W * N N,PL,COM ﬂ »
W * CON CON Ê
W * N N,PL,COM —”«·Â Â«
W * N N,SING,NUM 71
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * N N,SING,COM,GEN ›Â—” 
W * N N,PL,LOC «„«ﬂ‰
W * N N,SING,NUM 61
W * N N,SING,COM ’›ÕÂ
W * DELM DELM ∫
W * CON CON Ê
W * N N,SING,COM «” œ—«ﬂ
W * N N,SING,NUM 4
W * N N,SING,COM ’›ÕÂ
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * N N,SING,COM „ƒ·›
W * P P œ—
W * N N,SING,COM,GEN „ﬁœ„ÂÒ
W * N N,SING,COM ﬂ «»
W * P P »Â
W * N N,SING,COM «Œ ’«—
W * P P,GEN œ—»«—ÂÒ
W * N N,PL,COM,GEN Å«œ‘«Â«‰
W * N N,SING,PR,GEN êÊ—ﬂ«‰Ì
W * N N,SING,LOC,PR Â‰œ
W * CON CON Ê
W * N N,PL,COM,GEN ›⁄«·Ì Â«Ì
W * N N,PL,COM,GEN ›—„«‰—Ê«Ì«‰
W * N N,SING,COM,GEN ⁄’—
W * ADJ ADJ,SIM ’›ÊÌ
W * CON CON Ê
W * N N,PL,COM ‘«Â“«œê«‰
W * ADJ ADJ,INO Å—œ«Œ Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * CON CON œ—⁄Ì‰ Õ«·
W * QUA QUA  ⁄œ«œÌ
W * P P «“
W * N N,PL,COM,INDF ‘⁄—«ÌÌ
W * V V,PRS,POS,6 Â” ‰œ
W * CON CON ﬂÂ
W * PRO PRO,personal,SING,3 ÊÌ
W * ADV ADV,GENR,SIM „›’·«
W * P P,GEN œ—»«—ÂÒ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * P P »—
W * N N,SING,COM,GEN «”«”
W * N N,PL,COM,GEN „‰«»⁄
W * ADJ ADJ,SIM „⁄ »—
W * N N,SING,COM ê› êÊ
W * ADJ ADJ,INO ﬂ—œÂ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM «÷«›Â
W * P P »—
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM „„ﬂ‰
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM .
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM «› «œêÌ
W * DELM DELM °
W * N N,SING,COM,GEN –ﬂ—
W * N N,SING,NUM çÂ«—
W * N N,SING,COM ‘«⁄—
W * CON CON Ê
W * CON CON ”Å”
W * N N,SING,COM,GEN –ﬂ—
W * N N,SING,NUM ”Ì
W * N N,SING,COM,GEN ‘«⁄—
W * ADJ ADJ,SIM „‘ﬂÊﬂ
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * ADV ADV,GENR,TIME «ﬂ‰Ê‰
W * P P,GEN œ—»«—ÂÒ
W * N N,PL,COM,GEN ÊÌéêÌÂ«Ì
W * DET DET «Ì‰
W * N N,SING,COM  –ﬂ—Â
W * N N,SING,COM »ÕÀ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * DELM DELM :
W * N N,SING,NUM 1
W * DELM DELM -
W * P P œ—
W * ADJ ADJ,SIM ›«—”Ì
W * N N,SING,NUM ç‰œÌ‰
W * N N,SING,COM  –ﬂ—Â
W * ADJ ADJ,INO ‰Ê‘ Â
W * ADJ ADJ,INO ‘œÂ
W * CON CON «„«
W * P P «“
W * N N,SING,COM,GEN ‰Ÿ—
W * N N,SING,COM,GEN ›‰
W * N N,SING,COM  –ﬂ—Â ‰ÊÌ”Ì
W * QUA QUA ÂÌç
W * N N,SING,COM Ìﬂ
W * P P «“
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADJ ADJ,SIM,GEN Â„Å«ÌÂÒ
W * DET DET «Ì‰
W * N N,SING,COM  –ﬂ—Â
W * V V,PRS,NEG,3 ‰„Ì »«‘œ
W * DELM DELM .
W * P P œ—
W * ADJ ADJ,SIM ›«—”Ì
W * N N,SING,NUM ”Â
W * N N,SING,COM  –ﬂ—Â
W * ADJ ADJ,SIM,GEN Õ«Ì“
W * N N,SING,COM «Â„Ì 
W * V V,PRE,SIM «” 
W * N N,SING,NUM,INDF ÌﬂÌ
W * N N,SING,COM,GEN ‘«„
W * N N,PL,COM €—Ì»«‰
W * N N,SING,COM,GEN  √·Ì›
W * N N,SING,PR,GEN ‘›Ìﬁ
W * N N,SING,PR «Ê—‰ê ¬»«œÌ
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * ADJ ADJ,SIM ⁄ÃÌ»
W * CON CON Ê
W * ADJ ADJ,SIM €—Ì»
W * V V,PRE,SIM «” 
W * DELM DELM °
W * ADJ ADJ,SIM „‘ „·
W * P P »—
W * N N,SING,COM,GEN –ﬂ—
W * N N,SING,NUM 774
W * N N,SING,COM ‘«⁄—
W * V V,PRS,POS,3 „Ì »«‘œ
W * DELM DELM .
W * ADJ ADJ,SIM „⁄·Ê„
W * V V,PRS,NEG,3 ‰Ì” 
W * N N,SING,COM „ƒ·›
W * ADV ADV,I ç—«
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,PR ¬œ„
W * CON CON Ê
W * N N,SING,PR »Ìœ·
W * RA RA —«
W * P P œ—
W * PRO PRO,DEMO,SING ¬‰
W * ADJ ADJ,SIM ‘«„·
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,COM,GEN ”—“„Ì‰
W * ADJ ADJ,SIM ›«—”Ì “»«‰
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * V V,PA,SIM,POS,6 ¬„œ‰œ
W * DELM DELM .
W * CON CON »Â «Ì‰  — Ì»
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM ﬂ «»
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM ‘«⁄—«‰Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * CON CON ê—çÂ
W * N N,SING,PR,GEN «Õ„œ
W * N N,SING,PR ê·çÌ‰
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM “„Ì‰Â
W * N N,SING,COM,INDF «‘«—Â «Ì
W * V V,PA,NAR,NEG,3 ‰ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON «„«
W * ADJ ADJ,SIM ﬁ—Ì‰
W * P P »Â
W * N N,SING,COM ﬁÌ«”
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * PRO PRO,personal,SING,3 „‘«—«·ÌÂ
W * CON CON ‰Ì“
W * P P,GEN  Õ 
W * N N,SING,COM,GEN  √ÀÌ—
W * DET DET «Ì‰
W * N N,SING,COM,GEN  –ﬂ—Â
W * N N,SING,COM ﬁ—«—
W * ADJ ADJ,INO ê—› Â
W * CON CON Ê
W * P P »—
W * N N,SING,COM,GEN «”«”
W * PRO PRO,DEMO,SING ¬‰
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ «»
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * N N,SING,COM  √·Ì›
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM,GEN ‘«„
W * N N,PL,COM €—Ì»«‰
W * ADV ADV,deg,SIM »”Ì«—
W * ADJ ADJ,SIM,GEN ‘«⁄—«‰Â
W * N N,SING,COM «‰ Œ«»
W * ADJ ADJ,INO ﬂ—œÂ
W * DELM DELM .
W * N N,SING,COM,GEN ›—ﬁ
W * ADJ ADJ,SIM «”«”Ì
W * CON CON ﬂÂ
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,NUM œÊ
W * N N,SING,COM  –ﬂ—Â
W * ADJ ADJ,SIM „ÊÃÊœ
W * V V,PRE,SIM «” 
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,PL,COM,INDF ‘⁄—«ÌÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM „Â«Ã— 
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * DELM DELM °
W * CON CON œ—’Ê— Ì ﬂÂ
W * N N,SING,COM,GEN ‘«„
W * N N,PL,COM €—Ì»«‰
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,PL,COM,INDF ‘⁄—«ÌÌ
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * N N,SING,LOC,PR,GEN ¬”Ì«Ì
W * ADJ ADJ,SIM „—ﬂ“Ì
W * DELM DELM °
W * N N,SING,LOC,PR «›€«‰” «‰
W * CON CON Ê
W * P P «“
W * N N,PL,LOC,GEN „‰«ÿﬁ
W * ADJ ADJ,SIM ›«—”Ì “»«‰
W * P P »Â
W * N N,SING,LOC,PR Â‰œ
W * N N,SING,COM Ê«—œ
W * V V,PA,SIM,POS,6 ‘œ‰œ
W * DELM DELM .
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN ÊÌéêÌÂ«Ì
W * N N,SING,COM,GEN ﬂ«—Ê«‰
W * N N,SING,LOC,PR Â‰œ
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ÷„‰
W * N N,SING,COM,GEN ‘—Õ
W * N N,SING,COM,GEN Õ«·
W * N N,PL,COM ‘⁄—«
W * DELM DELM °
W * N N,PL,COM «ﬁÊ«·
W * CON CON Ê
W * N N,PL,COM,GEN «»Ì« 
W * ADJ ADJ,SIM,INDF “Ì«œÌ
W * RA RA —«
W * P P «“
W * PRO PRO,personal,PL,3 ¬‰«‰
W * N N,SING,COM ‰ﬁ·
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * CON CON «„«
W * P P œ—
W * N N,SING,COM,GEN ‘«„
W * N N,PL,COM €—Ì»«‰
W * N N,SING,GR,GEN  ⁄œ«œ
W * N N,PL,COM ‘⁄—«
W * N N,SING,COM Â„—«Â
W * P P »«
W * N N,SING,PR ¬œ„
W * CON CON Ê
W * N N,SING,PR,GEN »Ìœ·
W * N N,SING,PR ⁄ŸÌ„ ¬»«œÌ
W * DELM DELM °
W * N N,SING,NUM 774
W * N N,SING,COM ‰›—
W * V V,PRS,POS,6 „Ì »«‘‰œ
W * DELM DELM .
W * PRO PRO,personal,SING,3 ÊÌ
W * P P œ—
W * N N,SING,COM,GEN »«»
W * N N,SING,PR »Ìœ·
W * ADJ ADJ,INO ‰Ê‘ Â
W * V V,PRE,SIM «” 
W * CON CON «ê—çÂ
W * P P «“
W * N N,SING,COM,GEN ”—“„Ì‰
W * ADJ ADJ,SIM œÌê—
W * N N,SING,COM Ê«—œ
W * V V,PA,SIM,NEG,3 ‰‘œ
W * CON CON «„«
W * P P œ—
W * N N,SING,COM,GEN „‰»⁄
W * ADJ ADJ,SIM,GEN „Â„
W * ADJ ADJ,SIM œÌê—
W * ADV ADV,GENR,EXM,GEN „«‰‰œ
W * N N,SING,COM,GEN „—¬ 
W * N N,PL,COM Ê«—œ« 
W * DELM DELM °
W * N N,SING,COM,GEN „ÿ·»
W * ADJ ADJ,SIM,INDF œÌê—Ì
W * ADJ ADJ,INO ¬„œÂ
W * V V,PRE,SIM «” 
W * DELM DELM :
W * N N,SING,SURN „Ì—“«
W * N N,SING,PR »Ìœ·
W * P P «“
W * N N,PL,COM,GEN Ê«—œ«‰
W * N N,SING,LOC,PR Â‰œ
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM °
W * N N,SING,COM,GEN ÊÃÂÒ
W * N N,SING,COM,GEN «Ì—«œ
W * PRO PRO,personal,SING,3 «Ê
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM  √·Ì›
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * N N,PL,COM  –ﬂ—Â ‰ÊÌ”«‰
W * N N,PL,COM,GEN «ÕÊ«·
W * N N,SING,SURN „Ì—“«
W * RA RA —«
W * ADV ADV,GENR,SIM  ›’Ì·«"
W * CON CON Ê
W * ADV ADV,GENR,SIM «Ã„«·«
W * V V,PA,NAR,POS,6 ‰Ê‘ Â «‰œ
W * CON CON Ê
W * N N,SING,COM,GEN „Õ——
W * N N,PL,COM «Ê—«ﬁ
W * CON CON Â„
W * P P œ—
W * N N,SING,COM,GEN  –ﬂ—ÂÒ
W * N N,SING,COM,GEN ê·
W * N N,SING,COM —⁄‰«
W * N N,PL,COM,GEN «ÕÊ«·
W * N N,SING,PR „Ì—“«
W * RA RA —«
W * ADV ADV,GENR,SIM „” Ê›Ì
W * V V,PA,NAR,POS,3 ‰Ê‘ Â
W * DELM DELM °
W * P P œ—
W * DET DET «Ì‰
W * N N,PL,TIME «Ì«„
W * N N,SING,COM,GEN „—¬ 
W * N N,PL,COM Ê«—œ« 
W * N N,SING,COM,GEN  √·Ì›
W * N N,SING,SURN ‘«Â
W * N N,SING,PR,GEN „Õ„œ
W * N N,SING,PR ‘›Ì⁄
