Sub * SUBJ SUBJ !œ«” «‰!
W * N N,SING,TIME,INDF —Ê“Ì
W * N N,SING,COM,INDF ÿ—›Ì
W * V V,PA,PRG,POS,6 „Ì ﬂ‘Ìœ‰œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM ÿ—›
W * P P »Â
W * DET DET ¬‰
W * N N,SING,COM ÿ—›
W * CON CON Ê
W * P P «“
W * DET DET ¬‰
W * N N,SING,COM ÿ—›
W * P P »Â
W * DET DET «Ì‰
W * N N,SING,COM ÿ—›
W * ADJ ADJ,INO ﬂ‘ÌœÂ
W * V V,PA,PRG,POS,3 „Ì ‘œ
W * DELM DELM .
W * ADV ADV,GENR,SIM ”—«‰Ã«„
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM Å—‰œÂ Â«
W * QUA QUA ¬Â„Â
W * N N,SING,COM çÌ“
W * DELM DELM °
W * P P «“
W * QUA QUA Â„Â
W * N N,SING,COM Ã«
W * N N,SING,COM „Œ —⁄
W * N N,SING,COM »—ﬁ
W * CON CON œ—Ê«ﬁ⁄
W * N N,SING,COM »—ﬁ
W * RA RA —«
W * N N,SING,PR «·ﬂ”«‰œ—
W * N N,SING,PR Ê· «
W * N N,SING,COM «Œ —«⁄
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * ADV ADV,GENR,TIME «„—Ê“Â
W * P P »Â
W * N N,SING,COM «‘ »«Â
W * N N,SING,COM,GEN „Œ —⁄
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,PR «œÌ”Ê‰
W * V V,SUB,POS,6 êÊÌ‰œ
W * DELM DELM °
W * CON CON «„«
W * PRO PRO,INDF,SING ç‰Ì‰
W * V V,PRS,NEG,3 ‰Ì” 
W * DELM DELM ∫
W * N N,SING,PR «œÌ”Ê‰
W * ADV ADV,GENR,SIM ›ﬁÿ
W * N N,SING,COM,GEN ·«„Å
W * ADJ ADJ,SIM «· Â«»Ì
W * RA RA —«
W * V V,PA,SIM,POS,3 ”«Œ 
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM ·«„Å
W * DELM DELM °
W * N N,SING,COM,GEN ·«„Å
W * ADJ ADJ,SIM,INDF «—“«‰ ﬁÌ„ Ì
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN —‘ ÂÒ
W * PRO PRO,DEMO,SING ¬‰
W * P P »Â
W * N N,SING,COM,GEN Ã«Ì
W * N N,SING,COM Å·« Ì‰
W * CON CON ﬂÂ
W * ADJ ADJ,SIM ê—«‰
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * P P «“
W * N N,SING,COM  ‰ê” ‰
W * ADJ ADJ,INO ”«Œ Â
W * ADJ ADJ,INO ‘œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON  «
W * N N,SING,GR,GEN „—œ„
W * ADJ ADJ,SIM ›ﬁÌ—
W * V V,SUB,POS,6 » Ê«‰‰œ
W * P P »«
W * DET DET «Ì‰
W * N N,SING,COM ·«„Å
W * P P «“
W * N N,SING,COM,GEN ‰⁄„ 
W * N N,SING,COM »—ﬁ
W * ADJ ADJ,SIM »—ŒÊ—œ«—
W * V V,SUB,POS,6 ‘Ê‰œ
W * DELM DELM .
W * N N,SING,COM ¬»
W * CON CON Ê
W * N N,SING,COM,GEN ç—»Ì
W * N N,SING,COM,GEN »œ‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN ›—œ
W * ADJ ADJ,SIM,GEN »«·€
W * ADJ ADJ,SIM,GEN „⁄„Ê·Ì
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM,GEN ¬»
W * ADJ ADJ,SIM ﬂ«›Ì
W * P P,GEN »—«Ì
W * ADJ ADJ,SIM Å—
W * N N,SING,NFL,GEN ﬂ—œ‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM,GEN »‘ﬂÂÒ
W * N N,SING,NUM 21
W * MORP MORP,MADJ ê«·‰Ì
W * DELM DELM °
W * N N,SING,COM,GEN ç—»Ì
W * ADJ ADJ,SIM ﬂ«›Ì
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN ”«Œ ‰
W * ADV ADV,GENR,SIM Õœ«ﬁ·
W * N N,SING,NUM 7
W * N N,SING,COM ’«»Ê‰
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ—»‰
W * ADJ ADJ,SIM ﬂ«›Ì
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN ”«Œ ‰
W * N N,SING,NUM 8500
W * N N,SING,COM „œ«œ
W * CON CON Ê
W * N N,SING,COM,GEN ¬Â‰
W * ADJ ADJ,SIM ﬂ«›Ì
W * P P,GEN »—«Ì
W * N N,SING,NFL,GEN ”«Œ ‰
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM „ÌŒ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DELM DELM #
W * N N,SING,COM,GEN Å«Ì
W * N N,SING,COM „«—„Ê·ﬂ
W * DELM DELM #
W * N N,PL,COM,GEN Å«Â«Ì
W * N N,SING,COM „«—„Ê·ﬂ
W * N N,SING,COM,GEN ”«Œ „«‰
W * ADJ ADJ,SIM,INDF »«œﬂ‘ „«‰‰œÌ
W * V V,PRS,POS,3 œ«—œ
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN ﬂ„ﬂ
W * PRO PRO,DEMO,SING ¬‰
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ”ÿÕ
W * N N,SING,COM œÌÊ«—
W * CON CON Ì«
W * N N,SING,COM ”ﬁ›
W * V V,PRS,POS,3 „Ì ç”»«‰œ
W * DELM DELM .
W * CON CON œ—Ê«ﬁ⁄
W * N N,SING,COM „«—„Ê·ﬂ
W * P P »«
W * N N,SING,COM «” ›«œÂ
W * P P «“
W * N N,PL,COM,GEN ﬁÊ«‰Ì‰
W * N N,SING,COM,GEN ›‘«—
W * N N,SING,COM ÂÊ«
W * DELM DELM °
W * P P «“
W * N N,SING,COM œÌÊ«—
W * ADV ADV,GENR,LOC »«·«
W * V V,PRS,POS,3 „Ì —Êœ
W * CON CON Ê
W * CON CON Ì«
W * P P,GEN —ÊÌ
W * N N,SING,COM ”ﬁ›
W * N N,SING,COM Õ—ﬂ 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM »—œ«‘ 
W * CON CON Ê
W * P P »Â
W * N N,SING,COM ÂÊ«
W * V V,PA,SIM,POS,3 Å—Ìœ
W * DELM DELM .
W * N N,PL,COM,GEN Å—‰œÂ Â«Ì
W * ADJ ADJ,SIM œÌê—
W * CON CON Â„
W * P P »Â
W * N N,SING,COM,AFF,3 œ‰»«·‘
W * V V,PA,SIM,POS,6 —› ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 —› ‰œ
W * CON CON  «
W * P P »Â
W * N N,SING,NUM Ìﬂ
W * N N,SING,COM œ—Œ 
W * V V,PA,SIM,POS,6 —”Ìœ‰œ
W * DELM DELM .
W * N N,SING,COM,INDF Å—‰œÂ «Ì
W * CON CON ﬂÂ
W * N N,SING,COM ’œ«
W * RA RA —«
W * ADJ ADJ,INO »—œ«‘ Â
W * V V,PA,SIM,POS,3 »Êœ
W * P P,GEN —ÊÌ
W * N N,SING,COM,INDF ‘«ŒÂ «Ì
W * V V,PA,SIM,POS,3 ‰‘” 
W * CON CON Ê
W * ADV ADV,GENR,SIM ›Ê—Ì
W * N N,SING,COM ’œ«
W * RA RA —«
W * V V,PA,SIM,POS,3 »·⁄Ìœ
W * DELM DELM .
W * ADV ADV,GENR,SIM Œ»
W * DELM DELM ...
W * CON CON çÊ‰
W * N N,SING,COM ’œ«
W * N N,SING,COM ÿ⁄„
W * CON CON Ê
W * N N,SING,COM,INDF „“Â «Ì
W * V V,PA,SIM,NEG,3 ‰œ«‘ 
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * ADV ADV,GENR,SIM »Ì—Ê‰
W * V V,PA,SIM,POS,3 «‰œ«Œ 
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * DET DET ⁄Ã»
W * N N,SING,COM,GEN œ«‰ÂÒ
W * ADJ ADJ,SIM,INDF »Ì „“Â «Ì
W * DELM DELM !
W * N N,PL,COM,GEN Å—‰œÂ Â«Ì
W * ADJ ADJ,SIM œÌê—
W * P P »Â
W * N N,SING,COM,GEN ÿ—›
W * N N,SING,COM ’œ«
W * V V,PA,SIM,POS,6 Å—Ìœ‰œ
W * CON CON Ê
W * N N,SING,NUM,INDF ÌﬂÌ
W * N N,SING,NUM,INDF ÌﬂÌ
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * N N,SING,COM «„ Õ«‰
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * ADV ADV,GENR,SIM Ê«ﬁ⁄«
W * CON CON ﬂÂ
W * ADV ADV,deg,SIM ŒÌ·Ì
W * ADJ ADJ,SIM »Ì „“Â
W * V V,PRE,SIM «” 
W * DELM DELM !
W * N N,SING,COM ’œ«
W * ADV ADV,GENR,SIM ﬂ„Ì
W * N N,SING,COM ’»—
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON  «
W * N N,SING,COM,AFF,3 Õ«·‘
W * N N,SING,COM Ã«
W * V V,PA,SIM,POS,3 ¬„œ
W * CON CON Ê
W * CON CON »⁄œ
W * ADV ADV,GENR,SIM Œ‘ ÊŒ‘ ﬂ‰«‰
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * N N,SING,COM »⁄ »⁄
W * DELM DELM °
W * N N,SING,COM ﬂ„ﬂ
W * DELM DELM .
Sub * SUBJ SUBJ !›—Â‰êÌ!
W * DELM DELM #
W * N N,PL,COM ÷—» «·„À·Â«
W * DELM DELM #
W * ADJ ADJ,SIM ŒÊ«—
W * N N,SING,NFL,GEN ‘„—œ‰
W * N N,SING,COM Â‰—
W * DELM DELM °
W * N N,SING,COM »—«»—
W * V V,PRE,SIM «” 
W * P P »«
W * ADJ ADJ,SIM »Ì «ÿ·«⁄
W * N N,SING,NFL »Êœ‰
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * DELM DELM .
W * DELM DELM #
W * ADJ ADJ,SIM ¬·„«‰Ì
W * DELM DELM #
W * P P »—
W * N N,SING,COM,GEN œÌÊ«—
W * ADJ ADJ,SIM ”” 
W * DELM DELM °
W * N N,SING,COM  ﬂÌÂ
W * V V,IMP,NEG,2 „ﬂ‰
W * DELM DELM .
W * DELM DELM #
W * ADJ ADJ,SIM «”·Ê«ﬂÌ
W * DELM DELM #
W * N N,SING,COM,GEN ﬂ«—
W * ADJ ADJ,SIM,INDF ŒÌ—Ì
W * CON CON ﬂÂ
W * ADV ADV,GENR,TIME «„—Ê“
W * N N,SING,COM «‰Ã«„
W * V V,PRS,POS,4 „Ì œÂÌ„
W * DELM DELM °
W * N N,SING,COM,GEN ŒÊ‘»Œ Ì
W * N N,SING,TIME,GEN ›—œ«Ì
W * PRO PRO,personal,PL,1 „«
W * RA RA —«
W * N N,SING,COM ›—«Â„
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * DELM DELM #
W * ADJ ADJ,SIM «”Å«‰Ì«ÌÌ
W * DELM DELM #
W * N N,SING,LOC „“—⁄Â
W * DELM DELM °
W * N N,SING,COM,GEN ”›—ÂÒ
W * V V,PRE,NC,3 Œœ«” 
W * DELM DELM .
W * DELM DELM #
W * ADJ ADJ,SIM «” Ê‰Ì
W * DELM DELM #
W * DELM DELM #
W * N N,SING,COM,GEN ﬁœ— 
W * N N,SING,PR «„Ì—
W * DELM DELM #
W * N N,SING,PR,GEN ⁄÷œ«·œÊ·Â
W * N N,SING,PR œÌ·„Ì
W * P P,GEN »—«Ì
W * N N,SING,COM,GEN  ’—›
W * N N,SING,LOC,PR ﬂ—„«‰
W * N N,SING,COM ·‘ﬂ—ﬂ‘Ì
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * DET DET ¬‰
W * N N,SING,LOC ‘Â—
W * RA RA —«
W * N N,SING,COM „Õ«’—Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * P P œ—
W * DET DET «Ì‰
W * N N,SING,COM Â‰ê«„
W * N N,SING,COM,GEN Õ«ﬂ„
W * N N,SING,LOC,PR ﬂ—„«‰
W * DELM DELM °
W * CON CON ﬂÂ
W * N N,SING,COM,INDF „—œÌ
W * ADJ ADJ,SIM ﬂ—Ì„
W * CON CON Ê
W * ADJ ADJ,SIM »«› Ê 
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * QUA QUA Â—
W * N N,SING,TIME —Ê“
W * P P «“
W * N N,SING,TIME ’»Õ
W * P P  «
W * N N,SING,TIME ‘«„
W * DELM DELM °
W * P P »«
W * N N,PL,GR,GEN ·‘ﬂ—Ì«‰
W * N N,SING,SURN «„Ì—
W * N N,SING,PR,GEN ⁄÷œ«·œÊ·Â
W * N N,SING,PR œÌ·„Ì
W * N N,SING,COM Ã‰ê
W * V V,PA,PRG,POS,3 „Ì ﬂ—œ
W * CON CON Ê
W * N N,SING,TIME ‘«„ê«Â«‰
W * P P,GEN »—«Ì
W * PRO PRO,personal,PL,3 ¬‰«‰
W * N N,SING,COM ÿ⁄«„
W * V V,PA,PRG,POS,3 „Ì ›—” «œ
W * DELM DELM .
W * N N,SING,PR ⁄÷œ«·œÊ·Â
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM „⁄‰Ì
W * ADJ ADJ,SIM „ ⁄Ã»
W * V V,PA,SIM,POS,3 ‘œ
W * CON CON Ê
W * N N,SING,TIME,INDF —Ê“Ì
W * N N,SING,COM,INDF ›—” «œÂ «Ì
W * P P,GEN ‰“œ
W * PRO PRO,personal,SING,3 «Ê
W * V V,PA,SIM,POS,3 ›—” «œ
W * CON CON Ê
W * V V,PA,SIM,POS,3 ê› 
W * DELM DELM :
W * ADV ADV,I ç—«
W * N N,PL,TIME —Ê“Â«
W * P P »«
W * PRO PRO,personal,PL,1 „«
W * N N,SING,COM Ã‰ê
W * V V,PRS,POS,2 „Ì ﬂ‰Ì
W * CON CON Ê
W * N N,PL,TIME ‘»Â«
W * PRO PRO,personal,PL,1 „«
W * RA RA —«
W * N N,SING,COM ÿ⁄«„
W * V V,PRS,POS,2 „Ì œÂÌ
W * DELM DELM ø
W * N N,SING,PR,GEN «„Ì—
W * N N,SING,LOC,PR ﬂ—„«‰
W * N N,SING,COM Å«”Œ
W * V V,PA,SIM,POS,3 œ«œ
W * DELM DELM :
W * N N,SING,COM Ã‰ê
W * N N,SING,NFL ﬂ—œ‰
W * N N,SING,COM,GEN «ŸÂ«—
W * N N,SING,COM „—œÌ
W * CON CON Ê
W * N N,SING,COM „—œ«‰êÌ
W * CON CON Ê
W * N N,SING,COM ÿ⁄«„
W * N N,SING,NFL œ«œ‰
W * N N,SING,COM,GEN ‰‘«‰ÂÒ
W * N N,SING,COM › Ê 
W * CON CON Ê
W * N N,SING,COM ÃÊ«‰„—œÌ
W * V V,PRE,SIM «” 
W * DELM DELM .
Sub * SUBJ SUBJ !ÿ‰“!
W * DELM DELM #
W * PRO PRO,DEMO,SING «Ì‰
W * RA RA —«
W * V V,IMP,NEG,2 ‰êÊ
W * DELM DELM .
W * DELM DELM #
W * P P »Â
W * PRO PRO,personal,SING,1 „‰
W * V V,IMP,POS,2 »êÊ
W * N N,SING,NUM 521
W * N N,SING,COM »«—
W * N N,SING,LOC „‘ﬁ
W * V V,IMP,POS,2 »‰ÊÌ”
W * DELM DELM .
W * DELM DELM -
W * V V,IMP,POS,2 »êÊ
W * N N,SING,NUM 157
W * N N,SING,COM,GEN  „—Ì‰
W * N N,SING,COM —Ì«÷Ì
W * N N,SING,COM Õ·
W * V V,IMP,POS,2 ﬂ‰
W * DELM DELM .
W * DELM DELM -
W * V V,IMP,POS,2 »êÊ
W * N N,SING,LOC,GEN Å«Ì Œ 
W * N N,SING,NUM,GEN 123
W * N N,SING,LOC ﬂ‘Ê—
W * RA RA —«
W * P P «“
W * N N,SING,COM Õ›Ÿ
W * V V,IMP,POS,2 »êÊ
W * DELM DELM .
W * DELM DELM -
W * V V,IMP,POS,2 »êÊ
W * N N,SING,NUM 700
W * N N,SING,COM Å«œ‘«Â
W * RA RA —«
W * N N,SING,COM ‰«„
W * V V,IMP,POS,2 »»—
W * DELM DELM .
W * CON CON «„«
W * V V,IMP,NEG,2 ‰êÊ
W * QUA QUA Â—
W * N N,SING,COM çÂ
W * V V,PA,SIM,POS,2 ‰Ê‘ Ì
W * ADJ ADJ,SIM €·ÿ
W * V V,PRE,SIM «” 
W * CON CON Ê
W * QUA QUA Â—
W * N N,SING,COM çÂ
W * V V,PA,SIM,POS,2 ê› Ì
W * P P «“
W * PRO PRO,R,AFF,2 ŒÊœ 
W * V V,PA,NAR,POS,2 ”«Œ Â«Ì
W * DELM DELM .
Sub * SUBJ SUBJ !œ«” «‰!
W * N N,PL,COM Å—‰œÂ Â«
W * P P »«
W * N N,SING,COM  ⁄Ã»
W * P P »Â
W * PRO PRO,REC Â„
W * N N,SING,COM ‰ê«Â
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 ê› ‰œ
W * DELM DELM :
W * DET DET,I çÂ
W * N N,SING,COM,GEN œ«‰ÂÒ
W * ADJ ADJ,SIM,INDF ⁄ÃÌ»Ì
W * DELM DELM !
W * PRO PRO,personal,PL,1 „«
W * P P  «
W * ADV ADV,GENR,TIME Õ«·«
W * N N,SING,COM,GEN œ«‰ÂÒ
W * ADJ ADJ,SIM »“€«·Â «Ì
W * ADJ ADJ,INO,NEG ‰œÌœÂ
W * V V,PA,SIM,POS,4 »ÊœÌ„
W * DELM DELM .
W * DET DET,I çÂ
W * N N,SING,COM,INDF Œ‘ ÊŒ‘Ì
W * CON CON Â„
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM .
W * CON CON Ê
W * P P  «
W * N N,SING,COM ’œ«
W * V V,PA,SIM,POS,3 ¬„œ
W * V V,SUB,POS,3 »êÊÌœ
W * CON CON ﬂÂ
W * DELM DELM :
W * PRO PRO,personal,SING,1 „‰
W * N N,SING,COM,GEN ’œ«Ì
W * V V,PRE,NC,1 »“€«·Â «„
W * DELM DELM .
W * N N,SING,COM ﬂ„ﬂ
W * V V,SUB,POS,5 ﬂ‰Ìœ
W * V V,AUX,NIN,POS »«Ìœ
W * N N,SING,COM »“€«·Â
W * RA RA —«
W * N N,SING,COM ‰Ã« 
W * V V,SUB,POS,1 »œÂ„
W * DELM DELM .
W * ADV ADV,GENR,TIME «·«‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * N N,SING,COM ê—ê
W * PRO PRO,personal,SING,3 «Ê
W * RA RA —«
W * V V,SUB,POS,3 »ŒÊ—œ
W * DELM DELM .
W * PRO PRO,DEMO,PL ¬‰Â«
W * ADJ ADJ,SIM Å—
W * V V,PA,SIM,POS,3 “œ‰œ
W * CON CON Ê
W * V V,PA,SIM,POS,6 —› ‰œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * P P «“
W * DET DET ¬‰
W * N N,SING,COM »«·«
W * ADV ADV,GENR,SIM  «·«ÅÌ
W * ADV ADV,GENR,LOC Å«ÌÌ‰
W * V V,PA,SIM,POS,3 «› «œ
W * DELM DELM .
W * ADV ADV,GENR,SIM „Õﬂ„
W * P P »Â
W * N N,SING,LOC “„Ì‰
W * V V,PA,SIM,POS,3 ŒÊ—œ
W * CON CON Ê
W * ADV ADV,GENR,EXM,GEN „À·
W * N N,SING,COM  ÊÅ
W * ADV ADV,GENR,REPT œÊ»«—Â
W * ADV ADV,GENR,LOC »«·«
W * V V,PA,SIM,POS,3 —› 
W * DELM DELM °
W * N N,SING,COM »«·«
W * DELM DELM °
W * N N,SING,COM Å«ÌÌ‰
W * DELM DELM °
W * N N,SING,COM Å«ÌÌ‰
W * DELM DELM °
W * N N,SING,COM »«·«
W * DELM DELM .
W * ADJ ADJ,ORD ¬Œ—Ì‰
W * N N,SING,COM »«—
W * CON CON ﬂÂ
W * ADV ADV,GENR,LOC »«·«
W * V V,PA,SIM,POS,3 ¬„œ
W * DELM DELM °
W * P P »Â
W * N N,PL,COM Å—‰œÂ Â«
W * CON CON ﬂÂ
W * ADJ ADJ,SIM œÊ—
W * V V,PA,PRG,POS,6 „Ì ‘œ‰œ
W * N N,SING,COM ‰ê«Â
W * V V,PA,SIM,POS,3 ﬂ—œ
W * DELM DELM .
W * N N,PL,COM Å—‰œÂ Â«
W * N N,PL,COM,AFF,6 Å—Â«Ì‘«‰
W * RA RA —«
W * ADV ADV,GENR,REPT »«“
W * V V,PA,PRG,POS,6 „Ì ﬂ—œ‰œ
W * CON CON Ê
W * V V,PA,PRG,POS,6 „Ì »” ‰œ
W * CON CON Ê
W * ADJ ADJ,SIM ‰—„
W * CON CON Ê
W * ADJ ADJ,SIM ”»ﬂ»«·
W * P P  Ê
W * N N,SING,COM œ·
W * N N,SING,COM ¬”„«‰
W * ADV ADV,GENR,SIM Ã·Ê
W * V V,PA,PRG,POS,6 „Ì —› ‰œ
W * DELM DELM .
W * N N,SING,COM ’œ«
W * ADJ ADJ,SIM ŒÊ‘Õ«·
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * SUBJ SUBJ !!!
W * ADV ADV,GENR,SIM Õ Ì
W * P P «“
W * N N,SING,COM,GEN ’œ«Ì
W * N N,SING,COM ”‰ê
W * N N,SING,COM ÅŒ‘
W * V V,PA,SIM,POS,3 ‘œ
W * P P,GEN „Ì«‰
W * N N,SING,LOC,INDF œ—Â «Ì
W * ADJ ADJ,SIM ⁄„Ìﬁ
W * DELM DELM °
W * ADV ADV,I çﬁœ—
W * ADV ADV,deg,SIM ÌﬂÂ
W * N N,SING,COM ”—
W * V V,SUB,POS,1 ﬂ‰„
W * P P,GEN „Ì«‰
W * N N,SING,LOC,GEN ﬂÊÂ
W * P P »Ì
W * N N,SING,COM —›Ìﬁ
W * DELM DELM °
W * ADV ADV,GENR,TIME Â„Ì‘Â
W * N N,SING,COM ”‰ê
W * V V,PA,NAR,POS,1 »ÊœÂ «„
W * PRO PRO,personal,SING,1 „‰
W * P P «“
W * N N,SING,COM,GEN ‘—Ê⁄
W * DET DET «Ì‰
W * N N,SING,COM ÃÂ«‰
W * DELM DELM °
W * N N,SING,COM,INDF ﬂ”Ì
W * PRO PRO,INO,SING,1 „—«
W * N N,SING,COM ”›—
W * V V,PA,SIM,NEG,3 ‰»—œ
W * P P »Â
W * N N,PL,COM,GEN Ã«œÂ Â«Ì
W * N N,SING,COM ¬”„«‰
W * DELM DELM °
W * N N,SING,COM  —ﬂ
W * N N,SING,COM  —ﬂ
W * V V,PA,NAR,POS,1 ‘ﬂ” Â «„
W * ADJ ADJ,SIM,GEN ‘»ÌÂ
W * N N,SING,COM,INDF ‘Ì‘Â «Ì
W * ADJ ADJ,SIM “·«·
W * DELM DELM °
W * N N,SING,COM,INDF Å—‰œÂ «Ì
W * PRO PRO,INO,SING,1 „—«
W * V V,PA,SIM,NEG,3 ‰œÌœ
W * V V,PA,NAR,NEG,1 ‰œÌœÂ «„
W * N N,SING,NUM œÊ
W * N N,SING,COM ﬁÿ—Â
W * N N,SING,COM »«·
W * DELM DELM °
W * N N,SING,COM ‰ê«Â
W * V V,PA,NAR,POS,1 ﬂ—œÂ «„
W * ADV ADV,GENR,SIM ›ﬁÿ
W * P P »Â
W * N N,SING,COM,GEN «— ›«⁄
W * N N,PL,COM ﬁ·Â Â«
W * DELM DELM °
W * CON CON Ê·Ì
W * P P «“
W * N N,SING,COM,GEN ⁄„ﬁ
W * N N,PL,LOC œ—Â Â«
W * ADJ ADJ,INO,NEG ‰ê‘ Â
W * N N,SING,COM,GEN Å«Ì
W * PRO PRO,personal,SING,1 „‰
W * ADJ ADJ,SIM Ãœ«
W * DELM DELM °
W * N N,SING,TIME €—Ê»
W * V V,PA,SIM,POS,3 »Êœ
W * CON CON Ê
W * N N,SING,COM ”‰ê
W * CON CON Ê
W * N N,SING,COM €„
W * CON CON Ê
W * N N,SING,COM,GEN »«—‘
W * N N,PL,COM Å—‰œÂ Â«
W * SUBJ SUBJ !!!
W * DELM DELM .
Sub * SUBJ SUBJ !ÃœÊ·!
W * ADJ ADJ,SUP ﬁœÌ„Ì  —Ì‰
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * N N,SING,COM ÃÂ«‰
W * DELM DELM °
W * N N,SING,LOC,PR «Ì—«‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P «“
W * N N,SING,NUM 6
W * N N,SING,TIME ﬁ—‰
W * N N,SING,TIME ﬁ»·
W * P P «“
W * N N,SING,COM,GEN „Ì·«œ
W * N N,SING,PR „”ÌÕ
W * N N,SING,LOC,INDF ﬂ‘Ê—Ì
W * ADJ ADJ,SIM „” ﬁ·
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADJ ADJ,SUP ÃœÌœ —Ì‰
W * N N,SING,LOC,GEN ﬂ‘Ê—
W * N N,SING,COM ÃÂ«‰
W * N N,SING,LOC,PR »—Ê‰∆Ì
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 1981
W * P P «“
W * N N,SING,LOC,PR «‰ê·” «‰
W * ADJ ADJ,SIM Ãœ«
W * V V,PA,SIM,POS,3 ‘œ
W * DELM DELM .
W * DELM DELM #
W * N N,SING,COM,GEN ‘„«—ÂÒ
W * N N,SING,NUM 3
W * DELM DELM #
W * N N,SING,NUM 1
W * DELM DELM -
W * PRO PRO,personal,SING,1 „‰
W * CON CON Ê
W * PRO PRO,personal,SING,2  Ê
W * P P »«
W * PRO PRO,REC Â„
W * V V,PRS,POS,1 „Ì ‘ÊÌ„
W * DELM DELM .
W * N N,SING,NUM 2
W * DELM DELM -
W * P P »Â
W * N N,SING,COM ¬œ„Ì
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Ê“‰
W * ADJ ADJ,SIM “Ì«œ
W * V V,PRS,POS,3 œ«—œ
W * DELM DELM °
W * V V,PRS,POS,4 „Ì êÊÌÌ„
W * DELM DELM .
W * N N,SING,NUM 3
W * DELM DELM -
W * P P «“
W * N N,PL,COM ”»“ÌÃ« 
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,COM ”«·«œ
W * V V,PRS,POS,4 „Ì —Ì“Ì„
W * CON CON  «
W * ADJ ADJ,SIM ŒÊ‘„“Â
W * V V,SUB,POS,3 ‘Êœ
W * DELM DELM .
W * N N,SING,NUM 4
W * DELM DELM -
W * DET DET «Ì‰
W * N N,SING,TIME ›’·
W * N N,SING,TIME »⁄œ
W * P P «“
W * N N,SING,SES  «»” «‰
W * V V,PRS,POS,3 „Ì ¬Ìœ
W * DELM DELM .
W * N N,SING,NUM 5
W * DELM DELM -
W * N N,SING,COM,GEN Ê”Ì·ÂÒ
W * ADJ ADJ,SIM,INDF ‰ﬁ·ÌÂ «Ì
W * CON CON ﬂÂ
W * N N,PL,COM,GEN »«—Â«Ì
W * ADJ ADJ,SIM ”‰êÌ‰
W * RA RA —«
W * P P »«
