Sub * SUBJ SUBJ ! «—ÌŒÌ!
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,COM «—Ã«⁄
W * P P »Â
W * N N,SING,PR,GEN  ‰ﬂ·Ê‘«Ì
W * N N,SING,PR »«»·Ì
W * CON CON Ê
W * QUA QUA »—ŒÌ
W * P P «“
W * N N,PL,COM,GEN „‰«»⁄
W * ADJ ADJ,SIM ﬂ·œ«‰Ì
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * AR AR Ê
W * AR AR ﬂ–«
W * AR AR ›Ì
W * AR AR «·»“ÌœÃ« 
W * AR AR «·›«—”Ì…
W * AR AR ›Â—” 
W * DELM DELM .
W * P P «“
W * N N,PL,COM,GEN „‰«»⁄
W * ADJ ADJ,SIM,GEN „Â„
W * ADJ ADJ,SIM Â‰œÌ
W * N N,SING,PR ”œÂ«‰œ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ‰“œ
W * N N,PL,COM „”·„«‰«‰
W * P P »Â
W * N N,SING,COM,GEN ”‰œ
W * N N,SING,LOC,PR Â‰œ
W * ADJ ADJ,SIM „‘ÂÊ—
W * V V,PRE,SIM «” 
W * CON CON Ê
W * N N,SING,COM,GEN “ÌÃ
W * N N,SING,PR «—ﬂ‰œ
W * P P œ—
W * N N,SING,COM,GEN œ” —”
W * N N,PL,COM „”·„«‰«‰
W * ADJ ADJ,INO »ÊœÂ
W * CON CON Ê
W * PRO PRO,DEMO,SING ¬‰
W * RA RA —«
W * ADV ADV,GENR,SIM »Â —«” Ì
W * CON CON ﬂÂ
W * P P «‰œ—
W * PRO PRO,personal,SING,3 «Ê
W * N N,SING,COM ﬂéÌ
W * V V,SUB,NEG,3 ‰Ì«Ìœ
W * N N,SING,COM  ›”Ì—
W * V V,PA,NAR,POS,6 ﬂ—œÂ «‰œ
W * CON CON Ê
W * ADV ADV,GENR,SIM Õ Ì
W * P P œ—
W * ADJ ADJ,SIM «œ»
W * N N,SING,COM ⁄—»
W * CON CON Â„
W * P P »Â
W * PRO PRO,DEMO,SING ¬‰
W * N N,SING,COM «‘«—Â
W * ADJ ADJ,INO ‘œÂ
W * V V,PRE,SIM «” 
W * DELM DELM .
W * N N,SING,PR »Õ —Ì
W * P P œ—
W * N N,SING,COM,GEN œÌÊ«‰
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM,GEN Ã·œ
W * N N,SING,NUM 2
W * DELM DELM °
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 160
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * AR AR ƒ·” 
W * AR AR »«·”‰œ
W * AR AR Â‰œ
W * AR AR –«»’—
W * AR AR ∆‰
W * AR AR ·„
W * AR AR  ›ﬁ
W * AR AR Õ«”»ÌÂ
W * AR AR  ‰ ’›
W * DELM DELM .
W * ADV ADV,GENR,SIM Õ Ì
W * N N,SING,COM,INDF ﬂ «»Ì
W * P P «“
W * N N,SING,COM,GEN ﬂÌ›Ì 
W * N N,SING,COM ÷—»
W * CON CON Ê
W * N N,SING,COM  ﬁ”Ì„
W * N N,SING,COM,GEN ‰“œ
W * N N,PL,COM Â‰œÌ«‰
W * P P,GEN  Õ 
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * AR AR ›Ì
W * AR AR «·÷—»
W * CON CON Ê
W * AR AR «·ﬁ”„…
W * AR AR »«·Â‰œÌ
W * P P «“
W * N N,SING,PR,GEN «»Ê«·„Ãœ
W * N N,SING,PR,GEN «»‰
W * N N,SING,PR ⁄ÿÌ…
W * P P œ—
W * N N,SING,COM,GEN œ” —”
W * N N,PL,COM „”·„«‰«‰
W * ADJ ADJ,INO »ÊœÂ
W * V V,PRE,SIM «” 
W * N N,SING,COM,GEN „Ã„Ê⁄ÂÒ
W * N N,PL,COM —”«∆·
W * ADJ ADJ,SIM,GEN ⁄·„Ì
W * ADJ ADJ,SIM „ÊÃÊœ
W * P P œ—
W * N N,SING,COM,GEN „Ê“ÂÒ
W * N N,SING,LOC,PR »—Ì «‰Ì«
W * DELM DELM °
W * N N,SING,COM,GEN ‘„«—ÂÒ
W * N N,SING,NUM 3747
W * DELM DELM °
W * N N,PL,COM «÷«›« 
W * DELM DELM °
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 170
W * DELM DELM .
W * N N,SING,PR ŒÌ«„
W * CON CON ﬂÂ
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM,INDF «” ⁄œ«œÌ
W * ADJ ADJ,SIM Œ«—ﬁ «·⁄«œÂ
W * CON CON Ê
W * N N,SING,COM,INDF Õ«›ŸÂ «Ì
W * ADJ ADJ,SIM ﬁÊÌ
W * V V,PA,SIM,POS,3 »Êœ
W * PRO PRO,INDF,SING ç‰«‰
W * CON CON ﬂÂ
W * N N,SING,COM,INDF ﬂ «»Ì
W * RA RA —«
W * P P œ—
W * N N,SING,LOC,PR «’›Â«‰
W * N N,SING,NUM Â› 
W * N N,SING,COM »«—
W * V V,PA,SIM,POS,3 ŒÊ«‰œ
W * CON CON Ê
W * N N,SING,COM Õ›Ÿ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P œ—
W * N N,SING,COM,GEN «œ»
W * ADJ ADJ,SIM ⁄—»
W * SPEC SPEC ç‰«‰
W * N N,SING,COM,INDF „Â«— Ì
W * V V,PA,SIM,POS,3 œ«‘ 
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM  ÕﬁÌﬁ
W * CON CON Ê
W * N N,SING,COM,GEN  ›Õ’
W * N N,PL,COM,GEN «»Ì« 
W * N N,SING,COM Õ„«”Â
W * N N,SING,PR «»Ê „«„
W * V V,PA,PRG,POS,3 „Ì Å—œ«Œ 
W * DELM DELM .
W * PRO PRO,personal,SING,3 «Ê
W * P P «“
W * DET DET «Ì‰
W * N N,SING,COM „Êﬁ⁄Ì 
W * N N,SING,COM «” ›«œÂ
W * V V,PA,SIM,POS,3 ﬂ—œ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN ›—«êÌ—Ì
W * N N,PL,COM,GEN «Ã“«¡
W * N N,SING,COM Õﬂ„ 
W * P P «“
W * N N,SING,COM —Ì«÷Ì« 
W * CON CON Ê
W * N N,PL,COM „⁄ﬁÊ·« 
W * N N,SING,COM «‘ €«·
W * V V,PA,SIM,POS,3 Ê—“Ìœ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM,GEN ﬁÊ·
W * N N,SING,PR »ÌÂﬁÌ
W * ADJ ADJ,SIM „«Â—
W * DELM DELM °
W * ADJ ADJ,SIM Õ«–ﬁ
W * DELM DELM °
W * CON CON Ê
W * ADJ ADJ,SIM „”·ÿ
W * P P »—
W * DET DET «Ì‰
W * N N,PL,COM ⁄·Ê„
W * V V,PA,SIM,POS,3 ê—œÌœ
W * DELM DELM .
W * ADV ADV,GENR,SIM Œ«’Â
W * CON CON ¬‰ﬂÂ
W * P P œ—
W * N N,SING,COM,GEN ‰ ÌÃÂÒ
W * N N,SING,COM  ﬂ›Ì—
W * CON CON Ê
W * N N,SING,COM,GEN  ›”Ìﬁ
W * N N,PL,COM,GEN ⁄·„«Ì
W * N N,SING,COM Ÿ«Â—
W * P P œ—
W * N N,SING,LOC,PR Œ—«”«‰
W * CON CON ﬂÂ
W * N N,SING,COM Â‰œ”Â
W * RA RA —«
W * ADJ ADJ,SIM “‰œﬁÂ
W * CON CON Ê
W * N N,SING,COM,GEN „œŒ·
W * N N,SING,COM ﬂ›—
W * CON CON Ê
W * N N,SING,COM ‘—
W * V V,PA,PRG,POS,6 „Ì œ«‰” ‰œ
W * DELM DELM °
W * DET DET «Ì‰
W * N N,PL,COM œ«‰‘Â«
W * N N,SING,COM —Ê
W * P P »Â
W * N N,SING,COM ÷⁄›
W * ADJ ADJ,INO ‰Â«œÂ
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM °
W * CON CON ç‰«‰ﬂÂ
W * N N,SING,PR ‰«’—Œ”—Ê
W * N N,SING,COM ê·Â
W * CON CON Ê
W * N N,SING,COM ‘ﬂ«Ì 
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * P P «“
W * DET DET «Ì‰
W * CON CON ﬂÂ
W * P P œ—
W * N N,SING,LOC,GEN “„Ì‰
W * N N,SING,LOC,PR Œ—«”«‰
W * CON CON Ê
W * N N,PL,COM „‘«—ﬁ
W * N N,SING,COM,INDF Õ«”»Ì
W * ADJ ADJ,SIM ﬂ«„·
W * V V,PA,SIM,POS,3 Ì«› 
W * V V,PRS,NEG,3 ‰„Ì ‘Êœ
W * CON CON Ê
W * PRO PRO,personal,SING,3 «Ê
W * P P,GEN »—«Ì
W * DET DET «Ì‰
W * N N,SING,COM ﬂ«” Ì
W * N N,SING,COM,GEN ﬂ «»
W * N N,SING,PR €—«∆» «·Õ”«»
W * CON CON Ê
W * N N,SING,PR ⁄Ã«∆» «·Õ”«»
W * RA RA —«
W * N N,SING,COM  √·Ì›
W * ADJ ADJ,INO ﬂ—œÂ
W * V V,PRE,SIM «” 
W * N N,SING,PR Ã«„⁄ «·Õﬂ„ Ì‰
W * DELM DELM °
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 308
W * DELM DELM .
W * N N,SING,PR ŒÌ«„
W * P P œ—
W * SPEC SPEC ç‰Ì‰
W * N N,SING,COM,INDF „ÕÌÿÌ
W * P P »Â
W * N N,SING,COM œ›«⁄
W * P P «“
W * N N,PL,COM,GEN ⁄·Ê„
W * ADJ ADJ,SIM —Ì«÷Ì
W * N N,SING,COM Å—œ«Œ 
W * CON CON Ê
W * P P œ—
W * N N,PL,COM,GEN ¬À«—
W * PRO PRO,R,XOD ŒÊœ
W * N N,SING,COM ”Œ‰
W * P P «“
W * N N,SING,COM «Â„Ì 
W * CON CON Ê
W * N N,SING,COM ﬁœ«” 
W * CON CON Ê
W * N N,SING,COM,GEN ÷—Ê— 
W * N N,SING,NFL,GEN œ«‰” ‰
W * DET DET «Ì‰
W * N N,PL,COM ⁄·Ê„
W * P P »Â
W * N N,SING,COM „Ì«‰
W * V V,PA,SIM,POS,3 ¬Ê—œ
W * CON CON Ê
W * P P œ—
W * N N,SING,ORD,GEN ¬€«“
W * N N,SING,COM,GEN ﬂ «»
W * AR AR ›Ì
W * AR AR ‘—Õ
W * AR AR „«
W * AR AR «‘ﬂ·
W * AR AR „‰
W * AR AR „’«œ—« 
W * AR AR ﬂ «»
W * AR AR «ﬁ·Ìœ”
W * PRO PRO,INDF,SING ç‰Ì‰
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * N N,SING,COM  ÕﬁÌﬁ
W * CON CON Ê
W * N N,SING,COM,GEN  Õ’Ì·
W * N N,PL,COM ⁄·Ê„
W * P P »«
W * N N,PL,COM,GEN »—Â«‰Â«Ì
W * ADJ ADJ,SIM ÌﬁÌ‰Ì
W * P P »—
W * QUA QUA Â—
W * N N,SING,COM ﬂÂ
W * N N,SING,COM,GEN ÿ«·»
W * N N,SING,COM ‰Ã« 
W * CON CON Ê
W * N N,SING,COM,GEN ”⁄«œ 
W * ADJ ADJ,SIM «»œÌ
W * V V,PRE,SIM «” 
W * ADJ ADJ,SIM Ê«Ã»
W * V V,PRE,SIM «” 
W * ADV ADV,GENR,SIM »ÊÌéÂ
W * N N,PL,COM ﬂ·Ì« 
W * CON CON Ê
W * N N,PL,COM,INDF ﬁÊ«‰Ì‰Ì
W * CON CON ﬂÂ
W * P P »«
W * PRO PRO,DEMO,SING ¬‰
W * V V,AUX,NIN,POS „Ì  Ê«‰
W * P P »Â
W * N N,PL,COM,GEN «„Ê—
W * ADJ ADJ,SIM “Ì—
W * P P »Â
W * N N,SING,COM,GEN «‰œ«“ÂÒ
W * N N,SING,COM,GEN ÿ«ﬁ 
W * ADJ ADJ,SIM «‰”«‰Ì
W * N N,SING,COM —«Â
W * V V,PA,SIM,POS,3 Ì«› 
W * DELM DELM :
W * N N,SING,COM,GEN  ÕﬁÌﬁ
W * N N,SING,COM „⁄«œ
W * CON CON Ê
W * N N,SING,COM,GEN «À»« 
W * N N,SING,COM ‰›”
W * CON CON Ê
W * N N,SING,COM,GEN »ﬁ«Ì
W * PRO PRO,DEMO,SING ¬‰
W * CON CON Ê
W * N N,SING,COM,GEN  Õ’Ì·
W * N N,PL,COM,GEN «Ê’«›
W * N N,SING,COM Ê«Ã» «·ÊÃÊœ
W * CON CON Ê
W * N N,PL,COM ›—‘ ê«‰
W * CON CON Ê
W * N N,SING,COM,GEN  — Ì»
W * N N,SING,COM Œ·ﬁ 
W * CON CON Ê
W * N N,SING,COM,GEN «À»« 
W * N N,SING,COM ‰»Ê 
W * CON CON Ê
W * N N,SING,COM,GEN «À»« 
W * N N,SING,COM,GEN ŒÊ«ÃÂÒ
W * ADJ ADJ,SIM,GEN ›—„«‰—Ê«Ì
W * N N,SING,COM,GEN „Ì«‰
W * N N,SING,GR „—œ„
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN «–‰
W * N N,SING,COM,GEN Œœ«Ê‰œ
W * ADJ ADJ,SIM  ⁄«·Ì
W * ADJ ADJ,SIM ›—„«‰ œÂ‰œÂ
W * CON CON Ê
W * ADJ ADJ,SIM,GEN »«“œ«—‰œÂÒ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * V V,PRE,SIM «” 
W * DELM DELM .
W * DET DET ¬‰
W * N N,SING,COM »Œ‘
W * P P «“
W * N N,SING,COM Õﬂ„ 
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN ‰«„
W * N N,SING,COM —Ì«÷Ì
W * ADJ ADJ,INO ŒÊ«‰œÂ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * N N,SING,COM,GEN «œ—«ﬂ
W * PRO PRO,DEMO,SING ¬‰
W * P P «“
W * N N,SING,COM,GEN ÃÂ 
W * N N,SING,COM  ’Ê—
W * CON CON Ê
W * N N,SING,COM  ’œÌﬁ
W * ADJ ADJ,SUP ¬”«‰ —Ì‰
W * N N,SING,COM »Œ‘
W * V V,PRE,SIM «” 
W * CON CON “Ì—«
W * PRO PRO,INDF,SING ¬‰çÂ
W * P P «“
W * PRO PRO,DEMO,SING ¬‰
W * CON CON ﬂÂ
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,SING,COM ⁄œœ
W * V V,PRS,POS,3 „Ì ‘Êœ
W * N N,SING,COM,INDF «„—Ì
W * ADJ ADJ,SIM ¬‘ﬂ«—
W * V V,PRE,SIM «” 
W * CON CON Ê
W * PRO PRO,INDF,SING ¬‰çÂ
W * CON CON ﬂÂ
W * ADJ ADJ,SIM „—»Êÿ
W * P P »Â
W * N N,SING,COM Â‰œ”Â
W * V V,PRE,SIM «” 
W * P P »—
W * QUA QUA Â—
W * N N,SING,COM ﬂÂ
W * ADJ ADJ,SIM,GEN œ«—«Ì
W * N N,SING,COM,INDF ›ÿ— Ì
W * ADJ ADJ,SIM ”·Ì„
W * CON CON Ê
W * N N,SING,COM,INDF «‰œÌ‘Â «Ì
W * ADJ ADJ,SIM  Ì“
W * CON CON Ê
W * N N,SING,COM,INDF Õœ”Ì
W * V V,PRE,ADJC,3 ‰ÌﬂÊ” 
W * DELM DELM °
W * ADJ ADJ,SIM Å‰Â«‰
W * V V,PRS,NEG,3 ‰„Ì „«‰œ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM »Œ‘
W * P P «“
W * N N,PL,COM,GEN »Œ‘Â«Ì
W * N N,SING,COM Õﬂ„ 
W * N N,SING,COM „ÊÃ»
W * V V,PRS,POS,3 „Ì ‘Êœ
W * CON CON ﬂÂ
W * N N,SING,COM ¬œ„Ì
W * P P «“
W * N N,SING,COM,GEN Ê—“‘
W * N N,SING,COM «‰œÌ‘Â
W * ADJ ADJ,SIM »Â—Â „‰œ
W * V V,SUB,POS,3 ‘Êœ
W * CON CON Ê
W * N N,SING,COM,GEN –Â‰
W * PRO PRO,personal,SING,3 «Ê
W * ADJ ADJ,INO Ê—“ÌœÂ
W * V V,SUB,POS,3 ê—œœ
W * CON CON Ê
W * N N,SING,COM,GEN ‰›”
W * PRO PRO,personal,SING,3 «Ê
W * P P «“
W * QUA QUA Â—
W * N N,SING,COM çÂ
W * CON CON ﬂÂ
W * N N,SING,COM,INDF »—Â«‰Ì
W * P P,GEN »—«Ì
W * PRO PRO,DEMO,SING ¬‰
W * V V,PRS,NEG,3 ‰Ì” 
W * N N,SING,COM ‰›— 
W * V V,SUB,POS,3 Å–Ì—œ
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 903
W * DELM DELM °
W * N N,SING,COM,GEN ç«Å
W * N N,SING,PR —‘œÌ
W * N N,SING,PR —«‘œ
W * DELM DELM .
W * P P œ—
W * ADV ADV,GENR,LOC «Ì‰Ã«
W * ADJ ADJ,SIM «÷«›Â
W * V V,PRS,POS,3 „Ì ‰„«Ìœ
W * CON CON ﬂÂ
W * N N,SING,PR «ﬁ·Ìœ”
W * CON CON Ê
W * N N,PL,COM,GEN ¬À«—
W * PRO PRO,personal,SING,3 «Ê
W * ADV ADV,GENR,SIM »ÊÌéÂ
W * N N,SING,COM,GEN ﬂ «»
W * N N,SING,PR,GEN «·«’Ê·
W * PRO PRO,personal,SING,3 «Ê
W * P P œ—
W * N N,SING,LOC,PR Œ—«”«‰
W * ADJ ADJ,SIM „⁄—Ê›
W * CON CON Ê
W * ADJ ADJ,SIM „‘ÂÊ—
W * V V,PA,SIM,POS,3 »Êœ
W * DELM DELM .
W * N N,SING,COM ÅÌ‘
W * P P «“
W * N N,SING,PR ŒÌ«„
W * DELM DELM °
W * N N,SING,PR ‰«’—Œ”—Ê
W * DELM DELM °
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * SUBJ SUBJ !!!
W * CON CON Ê
W * IF IF ê—
W * V V,PA,SIM,POS,2 œÌœÌ
W * PRO PRO,INO,SING,1 „—«
W * ADJ ADJ,SIM ⁄«Ã“
W * V V,PA,SIM,NEG,2 ‰ê‘ Ì
W * P P œ—
W * N N,SING,PR «ﬁ·Ìœ”
W * P P »Â
W * ADJ ADJ,ORD Å‰Ã„
W * N N,SING,COM,GEN ‘ﬂ·
W * N N,SING,PR „√„Ê‰
W * SUBJ SUBJ !!!
W * CON CON Ê
W * N N,SING,TIME Å”
W * P P «“
W * N N,SING,PR ŒÌ«„
W * DELM DELM °
W * N N,SING,PR ⁄ÿ«—
W * N N,SING,PR ‰Ì‘«»Ê—Ì
W * N N,SING,PR Œ”—Ê‰«„Â
W * DELM DELM °
W * DELM DELM )
W * N N,SING,NPR,GEN ’
W * DELM DELM (
W * N N,SING,NUM 372
W * V V,PRS,POS,3 „Ì êÊÌœ
W * DELM DELM :
W * SUBJ SUBJ !!!
W * ADJ ADJ,INO ê—› Â
W * N N,SING,COM,GEN  Œ ÂÒ
W * N N,PL,COM «›·«ﬂ
W * N N,SING,COM ÃœÊ·
W * V V,PA,NAR,POS,3 ‰‘” Â
W * N N,SING,TIME ‘»
W * CON CON ﬂÂ
W * N N,SING,PR «ﬁ·Ìœ”
W * V V,SUB,POS,3 ﬂ‰œ
W * N N,SING,COM Õ·
W * SUBJ SUBJ !!!
W * N N,SING,COM,GEN «‰Ã„‰
W * N N,PL,COM ¬À«—
W * CON CON Ê
W * N N,PL,COM,GEN „›«Œ—
W * ADJ ADJ,SIM ›—Â‰êÌ
W * CON CON ﬂÂ
W * N N,SING,COM,GEN Ê«—À
W * N N,SING,COM,GEN «‰Ã„‰
W * N N,PL,COM,GEN ¬À«—
W * ADJ ADJ,SIM,GEN „·Ì
W * ADJ ADJ,SIM ”«»ﬁ
W * ADJ ADJ,INO ê—œÌœÂ
W * P P »—
W * PRO PRO,R,XOD ŒÊœ
W * ADJ ADJ,SIM Ê«Ã»
W * V V,PRS,POS,3 „Ì œ«‰œ
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM ﬂ„ﬂ
W * CON CON Ê
W * N N,SING,COM,GEN „”«⁄œ 
W * N N,PL,COM,GEN „ Ê·Ì«‰
W * N N,SING,COM,GEN ⁄·„
W * DET DET «Ì‰
W * N N,SING,LOC ﬂ‘Ê—
W * P P »Â
W * N N,SING,COM  ÕﬁÌﬁ
W * CON CON Ê
W * N N,SING,COM,GEN »——”Ì
W * N N,PL,COM,GEN ¬À«—
W * N N,PL,COM »“—ê«‰
W * CON CON Ê
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * DET DET «Ì‰
W * N N,SING,COM „—“
W * CON CON Ê
W * N N,SING,COM »Ê„
W * V V,SUB,POS,3 »Å—œ«“œ
W * CON CON Ê
W * PRO PRO,personal,PL,3 ¬‰«‰
W * RA RA —«
W * P P »Â
W * N N,SING,COM,GEN ‰”·
W * ADJ ADJ,SIM ÃÊ«‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ‰ê«Â»«‰
W * N N,SING,COM ›—Â‰ê
W * CON CON Ê
W * N N,SING,COM,GEN ”‰ 
W * DET DET «Ì‰
W * N N,SING,LOC ﬂ‘Ê—
W * V V,AUX,FEA,POS,6 ŒÊ«Â‰œ
W * V V,PA,SIM,POS,3 »Êœ
W * N N,SING,COM „⁄—›Ì
W * V V,SUB,POS,3 ‰„«Ìœ
W * DELM DELM .
W * DET DET «Ì‰
W * N N,SING,COM «‰Ã„‰
W * P P œ—
W * N N,SING,COM,GEN ÿÌ
W * N N,SING,COM,GEN ⁄„—
W * ADJ ADJ,SIM,GEN Â‘ «œ”«·ÂÒ
W * PRO PRO,R,XOD ŒÊœ
W * N N,PL,NUM œÂÂ«
W * N N,SING,COM,GEN ﬂ «»
W * ADJ ADJ,SIM ‰›Ì”
W * P P «“
W * N N,PL,COM,GEN ⁄·„«Ì
W * N N,SING,COM «”·«„
W * CON CON Ê
W * N N,SING,LOC,PR «Ì—«‰
W * CON CON Ê
W * N N,PL,COM  ÕﬁÌﬁ« 
W * CON CON Ê
W * N N,PL,COM,GEN ÅéÊÂ‘Â«Ì
W * N N,PL,COM,GEN œ«‰‘„‰œ«‰
W * ADJ ADJ,SIM „⁄«’—
W * RA RA —«
W * P P,GEN œ—»«—ÂÒ
W * PRO PRO,personal,PL,3 ¬‰«‰
W * N N,SING,COM ç«Å
W * CON CON Ê
W * ADJ ADJ,SIM „‰ ‘—
W * ADJ ADJ,INO ”«Œ Â
W * V V,PRE,SIM «” 
W * DELM DELM .
W * ADV ADV,GENR,TIME «ﬂ‰Ê‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN ﬂ„Ì”ÌÊ‰
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,NPR ÌÊ‰”ﬂÊ
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * DELM DELM °
W * N N,SING,COM,GEN ﬂ‰ê—ÂÒ
W * ADJ ADJ,SIM,GEN »Ì‰ «·„··Ì
W * N N,SING,COM,GEN »“—êœ«‘ 
W * ADJ ADJ,ORD ‰Â’œ„Ì‰
W * N N,SING,TIME,GEN ”«·
W * N N,SING,COM,GEN Ê›« 
W * N N,SING,SURN ÕﬂÌ„
W * N N,SING,PR,GEN ⁄„—
W * N N,SING,PR,GEN ŒÌ«„
W * N N,SING,PR ‰Ì‘«»Ê—Ì
W * RA RA —«
W * P P œ—
W * N N,SING,COM,GEN “«œê«Â
W * PRO PRO,personal,SING,3 «Ê
W * DELM DELM °
W * N N,SING,LOC,PR ‰Ì‘«»Ê—
W * DELM DELM °
W * ADJ ADJ,SIM »—ê“«—
W * V V,PRS,POS,3 „Ì ﬂ‰œ
W * DELM DELM °
W * ADJ ADJ,SIM „‰«”»
W * ADJ ADJ,INO œ«‰” Â
W * V V,PA,SIM,POS,3 ‘œ
W * N N,SING,COM,GEN ﬂ «»
W * N N,SING,SURN ÕﬂÌ„
W * N N,SING,PR,GEN ⁄„—
W * N N,SING,PR ŒÌ«„
W * P P »Â
W * N N,SING,COM,GEN ⁄‰Ê«‰
W * N N,SING,COM,GEN ⁄«·„
W * N N,SING,COM Ã»—
W * CON CON ﬂÂ
W * P P »Â
W * N N,SING,COM,GEN Ê”Ì·ÂÒ
W * N N,SING,COM,GEN œ«‰‘„‰œ
W * ADJ ADJ,SIM ›ﬁÌœ
W * N N,SING,SURN „—ÕÊ„
W * N N,SING,SURN œﬂ —
W * N N,SING,PR,GEN €·«„Õ”Ì‰
W * N N,SING,PR „’«Õ»
W * N N,SING,COM ‰ê«—‘
W * V V,PA,NAR,POS,3 Ì«› Â
W * CON CON Ê
W * P P œ—
W * N N,SING,TIME,GEN ”«·
W * N N,SING,NUM 1339
W * P P »Â
W * N N,SING,COM,GEN Ê”Ì·Â
W * N N,SING,COM «‰Ã„‰
W * ADJ ADJ,SIM „‰ ‘—
W * ADJ ADJ,INO ‘œÂ
W * P P »«
W * N N,SING,COM,GEN Â„ﬂ«—Ì
W * N N,SING,COM,GEN ﬂ„Ì”ÌÊ‰
W * ADJ ADJ,SIM,GEN „·Ì
W * N N,SING,NPR ÌÊ‰”ﬂÊ
W * P P œ—
W * N N,SING,LOC,PR «Ì—«‰
W * N N,SING,COM,GEN  ÃœÌœ
W * N N,SING,COM ç«Å
W * CON CON Ê
W * P P »Â
W * N N,PL,COM ‘—ﬂ  ﬂ‰‰œê«‰
W * P P œ—
W * N N,SING,COM ﬂ‰ê—Â
W * N N,SING,COM ⁄—÷Â
W * V V,SUB,POS,3 ê—œœ
W * DELM DELM .
W * N N,SING,NUM,INDF ÌﬂÌ
W * P P «“
W * N N,PL,COM,GEN «› Œ«—« 
W * N N,PL,COM «Ì—«‰Ì«‰
W * PRO PRO,DEMO,SING «Ì‰
W * V V,PRE,SIM «” 
W * CON CON ﬂÂ
W * P P »«
W * N N,SING,COM,GEN ÊÃÊœ
W * PRO PRO,DEMO,SING «Ì‰
W * CON CON ﬂÂ
W * N N,SING,COM,GEN œÌ‰
W * N N,SING,COM «”·«„
W * RA RA —«
W * V V,PA,SIM,POS,6 Å–Ì—› ‰œ
W * CON CON Ê
W * P P »Â
W * N N,SING,COM ÅÌ«„
W * N N,SING,SURN,GEN Õ÷— 
W * N N,SING,PR „Õ„œ
W * DELM DELM )
W * N N,SING,SURN ’
W * DELM DELM (
W * CON CON Ê
W * N N,SING,PR ﬁ—¬‰
W * N N,SING,COM «Ì„«‰
W * V V,PA,SIM,POS,6 ¬Ê—œ‰œ
W * DELM DELM °
W * P P œ—
W * N N,SING,COM,GEN ⁄Ì‰
W * N N,SING,COM Õ«·
W * N N,SING,COM,GEN “»«‰
W * PRO PRO,R,XOD ŒÊœ
W * RA RA —«
W * N N,SING,COM Õ›Ÿ
W * V V,PA,SIM,POS,6 ﬂ—œ‰œ
W * CON CON Ê
W * N N,SING,COM,GEN  ”·Ì„
W * N N,PL,COM,INDF ﬂ”«‰Ì
W * CON CON ﬂÂ
W * V V,PA,PRG,POS,6 „Ì ŒÊ«” ‰œ
W * P P «“
W * P P,GEN —ÊÌ
W * N N,SING,COM,GEN  ⁄’»« 
W * ADJ ADJ,SIM ⁄—»Ì
W * DELM DELM °
W * N N,SING,COM,GEN “»«‰
W * ADJ ADJ,SIM ⁄—»Ì
W * RA RA —«
W * P P »Â
W * PRO PRO,personal,PL,3 «Ì‘«‰
W * N N,SING,COM  Õ„Ì·
W * V V,SUB,POS,6 ﬂ‰‰œ
W * V V,PA,SIM,NEG,6 ‰‘œ‰œ
W * DELM DELM .
W * N N,PL,COM «Ì—«‰Ì«‰
W * P P »—
W * N N,SING,COM,GEN Œ·«›
W * N N,SING,GR,INDF „··Ì
W * ADV ADV,GENR,EXM çÊ‰
